"ID","Record Name","Year","Country/ID","Province/ID","City","Country","Province"
"1","Radiation Manta 2023","2023","63","1415","Manta","Ecuador","Manabi (EC)"
"2","Radiation Portoviejo 2023","2023","63","1415","Portoviejo","Ecuador","Manabi (EC)"
"3","Radiationn Chone 2023","2023","63","1415","Chone","Ecuador","Manabi (EC)"
"4","Radiation Jipijapa 2023","2023","63","1415","Jipijapa","Ecuador","Manabi (EC)"
"5","Radiation Montecristi 2023","2023","63","1415","Montecristi","Ecuador","Manabi (EC)"
"6","Radiation El Carmen 2023","2023","63","1415","El Carmen","Ecuador","Manabi (EC)"
"7","Radiation Jaramijo 2023","2023","63","1415","Jaramijo","Ecuador","Manabi (EC)"
"8","Radiation Flavio Alfaro 2023","2023","63","1415","Flavio Alfaro","Ecuador","Manabi (EC)"
"9","Radiation Junin 2023","2023","63","1415","Junin","Ecuador","Manabi (EC)"
"10","Radiation Pajan 2023","2023","63","1415","Pajan","Ecuador","Manabi (EC)"
"11","Radiation Pedernales 2023","2023","63","1415","Pedernales","Ecuador","Manabi (EC)"
